id,title,overview,genres,vote_average,vote_count,popularity,poster_path
515001,Jojo Rabbit,"A World War II satire that follows a lonely German boy whose world view is turned upside down when he discovers his single mother is hiding a young Jewish girl in their attic. Aided only by his idiotic imaginary friend, Adolf Hitler, Jojo must confront his blind nationalism.","35,10752,18",8.009,9782,50.6367,/7GsM4mtM0worCtIVeiQt28HieeN.jpg
348,Alien,"During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed.","27,878",8.164,15251,65.4133,/vfrQk5IPloGg1v9Rzbh2Eg3VGyM.jpg
126889,Alien: Covenant,"The crew of the colony ship Covenant, bound for a remote planet on the far side of the galaxy, discovers what they think is an uncharted paradise but is actually a dark, dangerous world.","878,27,53",6.155,8871,53.5229,/zecMELPbU5YMQpC81Z8ImaaXuf9.jpg
939243,Sonic the Hedgehog 3,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched in every way, Team Sonic must seek out an unlikely alliance in hopes of stopping Shadow and protecting the planet.","28,878,35,10751",7.725,2513,80.7057,/d8Ryb8AunYAuycVKDp5HpdWPKgC.jpg
141052,Justice League,"Fuelled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne and Diana Prince assemble a team of metahumans consisting of Barry Allen, Arthur Curry and Victor Stone to face the catastrophic threat of Steppenwolf and the Parademons who are on the hunt for three Mother Boxes on Earth.","28,12,878",6.075,13132,53.9495,/eifGNCSDuxJeS1loAXil5bIGgvC.jpg
473,Pi,"A mathematical genius discovers a link between numbers and reality, and thus believes he can predict the future.","9648,18,53",7.115,2294,50.7854,/fJA22FjlAW8rzrOw9Mwanl6oTc9.jpg
769,GoodFellas,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.","18,80",8.456,13345,62.7547,/aKuFiU82s5ISJpGZp7YkIr3kCUd.jpg
39843,Red to Kill,"A serial rapist rapes a girl with mental disability for wearing a red dress, which triggers him. Now the girl's social worker vows to get revenge on the rapist.",27,6.2,25,46.594,/uCSairsy6ZtiH8dbWWLKOsj1giP.jpg
374720,Dunkirk,"The story of the miraculous evacuation of Allied soldiers from Belgium, Britain, Canada and France, who were cut off and surrounded by the German army from the beaches and harbour of Dunkirk between May 26th and June 4th 1940 during World War II.","10752,28,18",7.45,16774,51.2266,/b4Oe15CGLL61Ped0RAS9JpqdmCt.jpg
369192,Battle of the Sexes,The true story of the 1973 tennis match between world number one Billie Jean King and ex-champ and serial hustler Bobby Riggs.,"18,35,36",6.8,1875,36.7941,/fWy0A3VojTCb0S2MKtEJjpquubF.jpg
